"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"153","Bulgaria","Urban Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3066644",""
"153","Bulgaria","Urban Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3034619",""
"153","Bulgaria","Urban Female","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2998215",""
"153","Bulgaria","Urban Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2931330",""
"153","Bulgaria","Urban Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2933936",""
"153","Bulgaria","Urban Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2945111",""
"153","Bulgaria","Urban Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2624031",""
"153","Bulgaria","Urban Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2636908",""
"153","Bulgaria","Urban Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2644285",""
"153","Bulgaria","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2651312",""
"153","Bulgaria","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2652367",""
"153","Bulgaria","Urban Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2700131",""
"153","Bulgaria","Urban Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2734426",""
"153","Bulgaria","Urban Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2780230",""
"153","Bulgaria","Urban Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2792807",""
"153","Bulgaria","Urban Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2794209",""
"153","Bulgaria","Urban Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2811073",""
"153","Bulgaria","Urban Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3012981",""
"153","Bulgaria","Urban Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3004845",""
"153","Bulgaria","Urban Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2984449",""
"153","Bulgaria","Urban Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2956276",""
"153","Bulgaria","Urban Male","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2923029",""
"153","Bulgaria","Urban Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2907972",""
"153","Bulgaria","Urban Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2862394",""
"153","Bulgaria","Urban Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2924721",""
"19","Burkina Faso","Urban Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","736119","10"
