"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"286","Tonga","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","32383",""
"286","Tonga","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","33248",""
"74","Tunisia","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1701663",""
"74","Tunisia","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1722121",""
"136","Turkey","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","11878521",""
"136","Turkey","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","11787190",""
"136","Turkey","Rural Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","12137388",""
"136","Turkey","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","11919132",""
"136","Turkey","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","11359494",""
"136","Turkey","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","11661313",""
"134","Turkmenistan","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","979635",""
"134","Turkmenistan","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","951934",""
"287","Tuvalu","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2621",""
"287","Tuvalu","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2448",""
"78","Uganda","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","10962578",""
"78","Uganda","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","7512982",""
"78","Uganda","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","10480119",""
"78","Uganda","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","7269101",""
"202","Ukraine","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","8363227","2"
"202","Ukraine","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","8479072","2"
"202","Ukraine","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","8537448",""
"202","Ukraine","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","8572499","2"
"202","Ukraine","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","8649629","2"
"202","Ukraine","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","7287570","2"
"202","Ukraine","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","7371211","2"
"202","Ukraine","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","7412725",""
